air_freshener;1;10,0,0
banana;2;0,10,0
big_dice;3;0,0,10
blue_vase;4;20,0,0
chocolate_syrup;5;0,20,0
cocacola;6;0,0,20
cofee_cup_1;7;30,0,0
cofee_cup_2;8;0,30,0
colacao;9;0,0,30
danone_yogurt;10;40,0,0
hand_crean;11;0,40,0
honey_pot;12;0,0,40
medicine_1;13;50,0,0
medicine_2;14;0,50,0
medicine_3;15;0,0,50
medicine_4;16;60,0,0
medicine_5;17;0,60,0
medicine_6;18;0,0,60
milk;19;70,0,0
plant;20;0,70,0
plastic_knife;21;0,0,70
plastic_plate;22;80,0,0
saccharine;23;0,80,0
taz;24;0,0,80
tea;25;90,0,0
telephone;26;0,90,0
toilet;27;0,0,90
wireless_telephone;28;100,0,0
